date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1996319,-66.8337,76.7869,1,0,0,0,-66.8247,76.7821,1,0,0,0,0,0
1996320,-66.8288,76.6433,1,0,0,0,-66.8296,76.6024,1,0,0,0,0,0
1996321,-66.8228,76.5095,1,0,0,0,-66.8345,76.4227,1,0,0,0,0,0
1996322,-66.8168,76.3758,1,0,0,0,-66.8369,76.3329,1,0,0,0,0,0
1996323,-66.8138,76.3089,1,0,0,0,-66.8369,76.3329,1,0,0,0,0,0
1996324,-66.8138,76.3089,1,0,0,0,-66.8369,76.3329,1,0,0,0,0,0
1996325,-66.8138,76.3089,1,0,0,0,-66.8364,76.2732,1,0,0,0,0,0
1996326,-66.8138,76.3089,1,0,0,0,-66.8355,76.1537,1,0,0,0,0,0
1996327,-66.8138,76.3089,1,0,0,0,-66.8346,76.0342,1,0,0,0,0,0
1996328,-66.8138,76.3089,1,0,0,0,-66.8342,75.9745,1,0,0,0,0,0
1996329,-66.8138,76.3089,1,0,0,0,-66.8342,75.9745,1,0,0,0,0,0
1996330,-66.8138,76.3089,1,0,0,0,-66.8342,75.9745,1,0,0,0,0,0
1996331,-66.8138,76.3089,1,0,0,0,-66.8342,75.9745,1,0,0,0,0,0
1996332,-66.8159,76.2258,1,0,0,0,-66.8342,75.9745,1,0,0,0,0,0
1996333,-66.8201,76.0594,1,0,0,0,-66.8342,75.9745,1,0,0,0,0,0
1996334,-66.8243,75.8932,1,0,0,0,-66.8446,75.8532,1,0,0,0,0,0
1996335,-66.8264,75.81,1,0,0,0,-66.8654,75.6105,1,0,0,0,0,0
1996336,-66.8264,75.81,1,-66.9,74.5,1,-66.8861,75.3678,1,0,0,0,48,9
1996337,-66.8264,75.81,1,0,0,0,-66.9005,75.2011,1,0,0,0,0,0
1996338,-66.8424,75.6826,1,0,0,0,-66.9083,75.1104,1,0,0,0,0,0
1996339,-66.8744,75.4277,1,0,0,0,-66.9162,75.0197,1,0,0,0,0,0
1996340,-66.9064,75.1728,1,0,0,0,-66.9242,74.9473,1,0,0,0,0,0
1996341,-66.9224,75.0454,1,0,0,0,-66.9321,74.8934,1,0,0,0,0,0
1996342,-66.9224,75.0454,1,0,0,0,-66.94,74.8395,1,0,0,0,0,0
1996343,-66.9224,75.0454,1,0,0,0,-66.944,74.8125,1,0,0,0,0,0
1996344,-66.9161,74.9718,1,0,0,0,-66.944,74.8125,1,0,0,0,0,0
1996345,-66.9034,74.8246,1,0,0,0,-66.944,74.8125,1,0,0,0,0,0
1996346,-66.8907,74.6774,1,0,0,0,-66.9331,74.6695,1,0,0,0,0,0
1996347,-66.8844,74.6038,1,0,0,0,-66.9112,74.3835,1,0,0,0,0,0
1996348,-66.8844,74.6038,1,0,0,0,-66.8894,74.0976,1,0,0,0,0,0
1996349,-66.8844,74.6038,1,0,0,0,-66.8816,73.9953,0,0,0,0,0,0
1996350,-66.8844,74.6038,1,0,0,0,-66.8783,73.9538,1,0,0,0,0,0
1996351,-66.8844,74.6038,1,0,0,0,-66.878,73.953,1,0,0,0,0,0
1996352,-66.8844,74.6038,1,0,0,0,-66.8778,73.9522,1,0,0,0,0,0
1996353,-66.8689,74.5585,1,0,0,0,-66.8775,73.9514,1,0,0,0,0,0
1996354,-66.838,74.4679,1,0,0,0,-66.8773,73.9506,1,0,0,0,0,0
1996355,-66.8071,74.3774,1,0,0,0,-66.8771,73.9498,1,0,0,0,0,0
1996356,-66.7762,74.2868,1,0,0,0,-66.8768,73.9489,1,0,0,0,0,0
1996357,-66.7453,74.1962,1,-66.7,74.8,1,-66.8766,73.9481,1,0,0,0,48,9
1996358,-66.7144,74.1056,1,-66.6897,74.7388,0,-66.8763,73.9473,1,0,0,0,0,0
1996359,-66.6834,74.0151,1,-66.678,74.5719,0,-66.8761,73.9465,1,0,0,0,0,0
1996360,-66.6525,73.9245,1,-66.6656,74.3242,0,-66.8759,73.9457,1,0,0,0,0,0
1996361,-66.6216,73.8339,1,-66.6529,74.0205,0,-66.8756,73.9449,1,0,0,0,0,0
1996362,-66.5907,73.7433,1,-66.6405,73.6856,0,-66.8754,73.9441,1,0,0,0,0,0
1996363,-66.5598,73.6528,1,-66.6289,73.3446,0,-66.8751,73.9433,1,0,0,0,0,0
1996364,-66.5289,73.5622,1,-66.6185,73.0222,0,-66.8749,73.9425,1,0,0,0,0,0
1996365,-66.5134,73.5169,1,-66.61,72.7434,0,-66.8744,73.9409,1,0,0,0,0,0
1996366,-66.5134,73.5169,0,-66.6038,72.5329,0,-66.7618,73.5612,0,0,0,0,0,0
1997001,-66.5134,73.5169,1,-66.6017,72.4612,0,-66.7224,73.4283,1,0,0,0,0,0
1997002,-66.5134,73.5169,1,-66.6,72.4,1,-66.7222,73.4275,1,0,0,0,48,9
1997003,-66.5134,73.5169,1,0,0,0,-66.7219,73.4267,1,0,0,0,0,0
1997004,-66.5134,73.5169,1,0,0,0,-66.7217,73.4259,1,0,0,0,0,0
1997005,-66.5134,73.5169,1,0,0,0,-66.7217,73.4259,1,0,0,0,0,0
1997006,-66.5134,73.5169,1,0,0,0,-66.7217,73.4259,1,0,0,0,0,0
1997007,-66.5134,73.5169,1,0,0,0,-66.7255,73.4136,1,0,0,0,0,0
1997008,-66.5134,73.5169,1,0,0,0,-66.7331,73.3891,1,0,0,0,0,0
1997009,-66.5134,73.5169,1,0,0,0,-66.7406,73.3646,1,0,0,0,0,0
1997010,-66.5134,73.5169,1,0,0,0,-66.7482,73.34,1,0,0,0,0,0
1997011,-66.5134,73.5169,1,0,0,0,-66.7558,73.3155,1,0,0,0,0,0
1997012,-66.5134,73.5169,1,0,0,0,-66.7634,73.291,1,0,0,0,0,0
1997013,-66.5208,73.4858,1,0,0,0,-66.7709,73.2664,1,0,0,0,0,0
1997014,-66.5356,73.4236,1,0,0,0,-66.7785,73.2419,1,0,0,0,0,0
1997015,-66.5503,73.3614,1,0,0,0,-66.7861,73.2174,1,0,0,0,0,0
1997016,-66.5651,73.2992,1,0,0,0,-66.7937,73.1928,1,0,0,0,0,0
1997017,-66.5799,73.237,1,0,0,0,-66.8012,73.1683,1,0,0,0,0,0
1997018,-66.5947,73.1749,1,0,0,0,-66.8088,73.1438,1,0,0,0,0,0
1997019,-66.6094,73.1127,1,-66.6,72.5,1,-66.8078,73.1127,1,0,0,0,48,9
1997020,-66.6242,73.0505,1,-66.6,72.4778,0,-66.7983,73.0752,1,0,0,0,0,0
1997021,-66.639,72.9883,1,-66.6,72.4207,0,-66.7888,73.0377,1,0,0,0,0,0
1997022,-66.6538,72.9261,1,-66.6,72.3426,0,-66.7793,73.0002,1,0,0,0,0,0
1997023,-66.6686,72.8639,1,-66.6,72.2574,0,-66.7698,72.9626,1,0,0,0,0,0
1997024,-66.6833,72.8017,1,-66.6,72.1793,0,-66.7602,72.9251,1,0,0,0,0,0
1997025,-66.6981,72.7395,1,-66.6,72.1222,0,-66.7507,72.8876,1,0,0,0,0,0
1997026,-66.7129,72.6773,1,-66.6,72.1,1,-66.7412,72.8501,1,0,0,0,48,9
1997027,-66.7277,72.6151,1,0,0,0,-66.7317,72.8126,1,0,0,0,0,0
1997028,-66.7424,72.5529,1,0,0,0,-66.7221,72.775,1,0,0,0,0,0
1997029,-66.7572,72.4908,1,0,0,0,-66.7126,72.7375,1,0,0,0,0,0
