date,nic_1,nic_2,nic_3,size_1,size_2
2010170,-67.1243,153.364,0,0,0
2010171,-67.1,153.32,1,10,2
2010172,-67.0934,153.275,0,0,0
2010173,-67.089,153.2249,0,0,0
2010174,-67.0858,153.1733,0,0,0
2010175,-67.0832,153.1236,0,0,0
2010176,-67.0803,153.0791,0,0,0
2010177,-67.0761,153.0435,0,0,0
2010178,-67.07,153.02,1,10,2
2010179,-67.0591,153.0065,0,0,0
2010180,-67.0416,152.9971,0,0,0
2010181,-67.0183,152.9902,0,0,0
2010182,-66.9897,152.9838,0,0,0
2010183,-66.9567,152.9761,0,0,0
2010184,-66.9199,152.9655,0,0,0
2010185,-66.88,152.95,1,10,2
2010186,-66.8242,152.8997,0,0,0
2010187,-66.7448,152.797,0,0,0
2010188,-66.6499,152.6586,0,0,0
2010189,-66.5477,152.501,0,0,0
2010190,-66.4466,152.3409,0,0,0
2010191,-66.3546,152.1951,0,0,0
2010192,-66.28,152.08,1,10,2
2010193,-66.2188,151.9815,0,0,0
2010194,-66.1615,151.8789,0,0,0
2010195,-66.1079,151.7792,0,0,0
2010196,-66.0581,151.6895,0,0,0
2010197,-66.0119,151.6167,0,0,0
2010198,-65.9692,151.5678,0,0,0
2010199,-65.93,151.55,1,10,2
2010200,-65.8951,151.55,0,0,0
2010201,-65.8643,151.55,0,0,0
2010202,-65.8362,151.55,0,0,0
2010203,-65.8092,151.55,0,0,0
2010204,-65.7818,151.55,0,0,0
2010205,-65.7526,151.55,0,0,0
2010206,-65.72,151.55,1,10,2
2010207,-65.6826,151.5241,0,0,0
2010208,-65.6412,151.4554,0,0,0
2010209,-65.5973,151.3577,0,0,0
2010210,-65.5527,151.2446,0,0,0
2010211,-65.5088,151.1298,0,0,0
2010212,-65.4674,151.027,0,0,0
2010213,-65.43,150.95,1,10,2
2010214,-65.3978,150.8885,0,0,0
2010215,-65.3694,150.8257,0,0,0
2010216,-65.3431,150.7656,0,0,0
2010217,-65.3169,150.7121,0,0,0
2010218,-65.2889,150.6691,0,0,0
2010219,-65.2572,150.6404,0,0,0
2010220,-65.22,150.63,1,10,2
2010221,-65.1658,150.6334,0,0,0
2010222,-65.0913,150.6433,0,0,0
2010223,-65.007,150.6595,0,0,0
2010224,-64.9233,150.6815,0,0,0
2010225,-64.8507,150.7092,0,0,0
2010226,-64.7994,150.7421,0,0,0
2010227,-64.78,150.78,1,10,2
2010228,-64.7988,150.8913,0,0,0
2010229,-64.8474,151.1248,0,0,0
2010230,-64.9138,151.4506,0,0,0
2010231,-64.9862,151.8389,0,0,0
2010232,-65.0526,152.2598,0,0,0
2010233,-65.1012,152.6835,0,0,0
2010234,-65.12,153.08,1,10,2
2010235,-65.1156,153.5214,0,0,0
2010236,-65.1033,154.0594,0,0,0
2010237,-65.0844,154.6341,0,0,0
2010238,-65.0603,155.1854,0,0,0
2010239,-65.0324,155.6535,0,0,0
2010240,-65.0018,155.9784,0,0,0
2010241,-64.97,156.1,1,10,2
2010242,-64.9286,156.0252,0,0,0
2010243,-64.8716,155.8324,0,0,0
2010244,-64.804,155.5687,0,0,0
2010245,-64.7311,155.2813,0,0,0
2010246,-64.6577,155.0176,0,0,0
2010247,-64.589,154.8248,0,0,0
2010248,-64.53,154.75,1,10,2
2010249,-64.4801,154.8159,0,0,0
2010250,-64.4344,154.9859,0,0,0
2010251,-64.3914,155.2184,0,0,0
2010252,-64.3494,155.4716,0,0,0
2010253,-64.3071,155.7041,0,0,0
2010254,-64.2628,155.8741,0,0,0
2010255,-64.215,155.94,1,10,2
2010276,-62.97,154.17,1,10,2
2010277,-62.9307,154.1838,0,0,0
2010278,-62.895,154.2201,0,0,0
2010279,-62.8619,154.2712,0,0,0
2010280,-62.8301,154.3294,0,0,0
2010281,-62.7983,154.3871,0,0,0
2010282,-62.7653,154.4365,0,0,0
2010283,-62.73,154.47,1,10,2
2010284,-62.6941,154.4894,0,0,0
2010285,-62.6593,154.5033,0,0,0
2010286,-62.6241,154.5143,0,0,0
2010287,-62.5871,154.5249,0,0,0
2010288,-62.5467,154.5377,0,0,0
2010289,-62.5015,154.5552,0,0,0
2010290,-62.45,154.58,1,10,2
2010291,-62.3814,154.6684,0,0,0
2010292,-62.2916,154.8532,0,0,0
2010293,-62.1894,155.1018,0,0,0
2010294,-62.0834,155.3815,0,0,0
2010295,-61.9824,155.6596,0,0,0
2010296,-61.895,155.9033,0,0,0
2010297,-61.83,156.08,1,10,2
2010298,-61.7813,156.202,0,0,0
2010299,-61.7368,156.3066,0,0,0
2010300,-61.6967,156.399,0,0,0
2010301,-61.661,156.4845,0,0,0
2010302,-61.6296,156.568,0,0,0
2010303,-61.6026,156.6548,0,0,0
2010304,-61.58,156.75,1,10,2
2010305,-61.5595,156.8553,0,0,0
2010306,-61.5394,156.9669,0,0,0
2010307,-61.5206,157.0813,0,0,0
2010308,-61.5044,157.1951,0,0,0
2010309,-61.4915,157.3051,0,0,0
2010310,-61.483,157.4079,0,0,0
2010311,-61.48,157.5,1,10,2
2010312,-61.4933,157.576,0,0,0
2010313,-61.5276,157.6377,0,0,0
2010314,-61.5745,157.6928,0,0,0
2010315,-61.6255,157.7489,0,0,0
2010316,-61.6724,157.8137,0,0,0
2010317,-61.7067,157.8948,0,0,0
2010318,-61.72,158,1,10,2
