date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1996155,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996156,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996157,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996158,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996159,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996160,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996161,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996162,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996163,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996164,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996165,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996166,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996167,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996168,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996169,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996170,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996171,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996172,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996173,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996174,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996175,-67.17,147.23,1,-67.2,147,1,0,0,0,0,0,0,0,0,0,28,12
1996176,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996177,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996178,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996179,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996180,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996181,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996182,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996183,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996184,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996185,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996186,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996187,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996188,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996189,-67.17,147.23,1,-67.2,147,1,0,0,0,0,0,0,0,0,0,28,12
1996190,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996191,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996192,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996193,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996194,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996195,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996196,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996197,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996198,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996199,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996200,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996201,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996202,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996203,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996204,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996205,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996206,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996207,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996208,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996209,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996210,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996211,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996212,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996213,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996214,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996215,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996216,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996217,-67.17,147.23,1,-67.2,147,1,0,0,0,0,0,0,0,0,0,28,12
1996218,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996219,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996220,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996221,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996222,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996223,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996224,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996225,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996226,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996227,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996228,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996229,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996230,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996231,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996232,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996233,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996234,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996235,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996236,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996237,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996238,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996239,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996240,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996241,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996242,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996243,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996244,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996245,-67.17,147.23,1,-67.2,147,1,0,0,0,0,0,0,0,0,0,28,12
1996246,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996247,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996248,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996249,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996250,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996251,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996252,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996253,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996254,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996255,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996256,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996257,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996258,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996259,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996260,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
