ascat_1,ascat_2,ascat_3,date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,1992091,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992092,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992093,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992094,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992095,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992096,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992097,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992098,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992099,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992100,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992101,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992102,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992103,-76.79,-41.81,1,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1992104,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992105,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992106,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992107,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992108,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992109,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992110,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992111,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992112,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992113,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992114,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992115,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992116,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992117,-76.79,-41.81,1,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1992118,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992119,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992120,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992121,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992122,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992123,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992124,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992125,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992126,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992127,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992128,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992129,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992130,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992131,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992132,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992133,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992134,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992135,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992136,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992137,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992138,-76.79,-41.81,1,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1992139,-76.79,-41.81,1,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992140,-76.79,-41.81,1,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992141,-76.79,-41.81,1,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992142,-76.79,-41.81,1,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992143,-76.79,-41.81,1,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992144,-76.79,-41.81,1,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992145,-76.79,-41.81,1,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1992146,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992147,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992148,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992149,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992150,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992151,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992152,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992153,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992154,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992155,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992156,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992157,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992158,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992159,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992160,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992161,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992162,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992163,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992164,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992165,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992166,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992167,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992168,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992169,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992170,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992171,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992172,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992173,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992174,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992175,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992176,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992177,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992178,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992179,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992180,-76.79,-41.81,1,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1992181,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992182,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992183,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992184,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992185,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992186,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992187,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992188,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992189,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992190,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992191,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992192,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992193,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992194,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992195,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992196,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992197,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992198,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992199,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992200,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992201,-76.79,-41.81,1,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1992202,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
