date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,size_1,size_2
1994347,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994348,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994349,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994350,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994351,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994352,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994353,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994354,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994355,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994356,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994357,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994358,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994359,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994360,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994361,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994362,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994363,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994364,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994365,-65.7919,87.785,0,0,0,0,0,0,0,0,0
1995001,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995002,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995003,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995004,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995005,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995006,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995007,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995008,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995009,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995010,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995011,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995012,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995013,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995014,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995015,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995016,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995017,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995018,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1995019,-65.7919,87.785,1,0,0,0,0,0,0,0,0
