ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3
-72.2646,-46.3699,1,2012127,-72.2646,-46.3699,1
-72.2654,-46.2764,1,2012128,-72.2654,-46.2764,1
-72.2336,-46.4064,1,2012129,-72.2336,-46.4064,1
-72.241,-46.3833,1,2012130,-72.241,-46.3833,1
-72.1087,-46.3113,1,2012131,-72.1087,-46.3113,1
-72.0486,-46.2481,1,2012132,-72.0486,-46.2481,1
-71.9921,-46.4332,1,2012133,-71.9921,-46.4332,1
-72.0606,-46.3819,1,2012134,-72.0606,-46.3819,1
-72.1358,-46.4497,1,2012135,-72.1358,-46.4497,1
-72.1748,-46.1561,1,2012136,-72.1748,-46.1561,1
-72.1844,-46.2374,1,2012137,-72.1844,-46.2374,1
-72.1157,-46.0986,1,2012138,-72.1157,-46.0986,1
-72.1229,-46.3593,1,2012139,-72.1229,-46.3593,1
-72.0776,-46.4887,1,2012140,-72.0776,-46.4887,1
-72.1061,-46.681,1,2012141,-72.1061,-46.681,1
-72.1887,-46.536,1,2012142,-72.1887,-46.536,1
-72.1339,-46.6346,1,2012143,-72.1339,-46.6346,1
-72.0153,-46.7487,1,2012144,-72.0153,-46.7487,1
-71.8768,-46.7932,1,2012145,-71.8768,-46.7932,1
-71.8804,-46.6157,1,2012146,-71.8804,-46.6157,1
-71.8411,-46.7645,1,2012147,-71.8411,-46.7645,1
-71.7519,-46.6017,1,2012148,-71.7519,-46.6017,1
-71.7103,-46.6009,1,2012149,-71.7103,-46.6009,1
-71.6681,-46.3663,1,2012150,-71.6681,-46.3663,1
-71.6453,-46.6608,1,2012151,-71.6453,-46.6608,1
-71.5874,-46.5124,1,2012152,-71.5874,-46.5124,1
-71.5142,-46.4993,1,2012153,-71.5142,-46.4993,1
-71.5231,-46.2984,1,2012154,-71.5231,-46.2984,1
-71.6197,-46.8062,1,2012155,-71.6197,-46.8062,1
-71.5083,-47.2192,1,2012156,-71.5083,-47.2192,1
-71.31,-47.61,1,2012157,-71.31,-47.61,1
-71.2619,-47.3518,1,2012158,-71.2619,-47.3518,1
-71.2149,-47.5154,1,2012159,-71.2149,-47.5154,1
-71.1539,-47.5384,1,2012160,-71.1539,-47.5384,1
-71.0679,-47.6601,1,2012161,-71.0679,-47.6601,1
-70.9948,-47.5502,1,2012162,-70.9948,-47.5502,1
-70.9102,-48.4088,1,2012163,-70.9102,-48.4088,1
-70.9712,-48.8966,1,2012164,-70.9712,-48.8966,1
-70.8924,-49.3201,1,2012165,-70.8924,-49.3201,1
-70.7035,-49.3045,1,2012166,-70.7035,-49.3045,1
-70.6312,-49.4664,1,2012167,-70.6312,-49.4664,1
-70.6654,-49.3072,1,2012168,-70.6654,-49.3072,1
-70.6569,-49.6034,1,2012169,-70.6569,-49.6034,1
-70.4968,-49.687,1,2012170,-70.4968,-49.687,1
-70.3767,-49.6785,1,2012171,-70.3767,-49.6785,1
-70.2958,-49.2592,1,2012172,-70.2958,-49.2592,1
-70.3575,-49.3817,1,2012173,-70.3575,-49.3817,1
-70.4728,-49.0494,1,2012174,-70.4728,-49.0494,1
-70.5246,-49.0472,1,2012175,-70.5246,-49.0472,1
-70.5784,-49.419,1,2012176,-70.5784,-49.419,1
-70.5237,-49.5984,0,2012177,-70.5237,-49.5984,0
-70.4262,-49.7618,1,2012178,-70.4262,-49.7618,1
-70.3314,-50.0256,1,2012179,-70.3314,-50.0256,1
-70.1597,-49.8342,1,2012180,-70.1597,-49.8342,1
-70.0837,-49.7509,1,2012181,-70.0837,-49.7509,1
-70.1102,-49.7968,1,2012182,-70.1102,-49.7968,1
-70.1629,-50.1188,1,2012183,-70.1629,-50.1188,1
-70.1847,-50.1493,1,2012184,-70.1847,-50.1493,1
-70.1663,-50.407,1,2012185,-70.1663,-50.407,1
-70.0487,-50.3113,1,2012186,-70.0487,-50.3113,1
-69.9895,-50.5143,1,2012187,-69.9895,-50.5143,1
-69.915,-50.4331,1,2012188,-69.915,-50.4331,1
-69.8654,-50.486,1,2012189,-69.8654,-50.486,1
-69.8471,-50.4213,1,2012190,-69.8471,-50.4213,1
-69.932,-50.3094,1,2012191,-69.932,-50.3094,1
-69.9642,-50.1045,1,2012192,-69.9642,-50.1045,1
-69.8597,-50.0139,1,2012193,-69.8597,-50.0139,1
-69.851,-49.893,1,2012194,-69.851,-49.893,1
-69.8901,-49.8481,1,2012195,-69.8901,-49.8481,1
-69.994,-49.3953,1,2012196,-69.994,-49.3953,1
-69.9727,-49.594,1,2012197,-69.9727,-49.594,1
-69.9468,-49.5048,1,2012198,-69.9468,-49.5048,1
-69.9515,-49.4762,1,2012199,-69.9515,-49.4762,1
-69.9368,-49.0692,1,2012200,-69.9368,-49.0692,1
-70.0147,-49.1992,1,2012201,-70.0147,-49.1992,1
-70.0363,-49.4527,1,2012202,-70.0363,-49.4527,1
-70.0079,-49.6252,1,2012203,-70.0079,-49.6252,1
-70.0508,-49.501,1,2012204,-70.0508,-49.501,1
-70.0591,-49.7111,1,2012205,-70.0591,-49.7111,1
-70.1569,-49.5951,1,2012206,-70.1569,-49.5951,1
-70.2265,-49.747,1,2012207,-70.2265,-49.747,1
-70.2034,-49.9411,1,2012208,-70.2034,-49.9411,1
-70.124,-50.1198,1,2012209,-70.124,-50.1198,1
-70.0801,-50.1933,1,2012210,-70.0801,-50.1933,1
-70.0785,-50.3246,1,2012211,-70.0785,-50.3246,1
-70.0843,-50.4516,0,2012212,-70.0843,-50.4516,0
-70.0991,-50.5808,0,2012213,-70.0991,-50.5808,0
-70.1188,-50.7066,0,2012214,-70.1188,-50.7066,0
-70.1392,-50.8235,0,2012215,-70.1392,-50.8235,0
-70.1563,-50.926,0,2012216,-70.1563,-50.926,0
-70.1659,-51.0087,1,2012217,-70.1659,-51.0087,1
-70.1691,-51.0662,1,2012218,-70.1691,-51.0662,1
-70.1527,-51.147,1,2012219,-70.1527,-51.147,1
-70.1394,-51.145,1,2012220,-70.1394,-51.145,1
-70.0369,-51.0525,1,2012221,-70.0369,-51.0525,1
-70.0224,-51.0459,1,2012222,-70.0224,-51.0459,1
-69.9801,-51.0789,1,2012223,-69.9801,-51.0789,1
-70.0245,-51.0996,1,2012224,-70.0245,-51.0996,1
-70.0049,-51.0287,1,2012225,-70.0049,-51.0287,1
-70.0033,-51.1161,1,2012226,-70.0033,-51.1161,1
-70.0047,-51.121,1,2012227,-70.0047,-51.121,1
-69.9768,-51.02,1,2012228,-69.9768,-51.02,1
-69.9719,-51.0487,1,2012229,-69.9719,-51.0487,1
-70.0309,-51.0762,1,2012230,-70.0309,-51.0762,1
-70.0205,-51.2254,1,2012231,-70.0205,-51.2254,1
-70.0669,-51.1715,0,2012232,-70.0669,-51.1715,0
-70.1132,-51.0482,1,2012233,-70.1132,-51.0482,1
-70.0682,-50.7939,1,2012234,-70.0682,-50.7939,1
-70.2049,-50.7282,1,2012235,-70.2049,-50.7282,1
-70.0867,-50.1242,1,2012236,-70.0867,-50.1242,1
-70.031,-50.2033,1,2012237,-70.031,-50.2033,1
-69.8446,-50.1424,1,2012238,-69.8446,-50.1424,1
-69.7301,-50.0606,1,2012239,-69.7301,-50.0606,1
-69.7632,-50.1738,1,2012240,-69.7632,-50.1738,1
-69.7613,-50.3028,1,2012241,-69.7613,-50.3028,1
-69.8483,-50.2436,1,2012242,-69.8483,-50.2436,1
-69.7971,-50.383,1,2012243,-69.7971,-50.383,1
-69.8033,-50.2679,1,2012244,-69.8033,-50.2679,1
-69.8241,-50.4771,1,2012245,-69.8241,-50.4771,1
-69.8874,-50.5171,1,2012246,-69.8874,-50.5171,1
-69.8725,-50.5105,1,2012247,-69.8725,-50.5105,1
-69.7493,-50.3967,1,2012248,-69.7493,-50.3967,1
-69.6681,-50.3838,1,2012249,-69.6681,-50.3838,1
-69.624,-50.3651,1,2012250,-69.624,-50.3651,1
-69.6459,-50.396,1,2012251,-69.6459,-50.396,1
-69.6509,-50.4584,1,2012252,-69.6509,-50.4584,1
-69.6025,-50.5151,1,2012253,-69.6025,-50.5151,1
-69.5709,-50.4498,1,2012254,-69.5709,-50.4498,1
-69.531,-50.5358,1,2012255,-69.531,-50.5358,1
-69.4938,-50.4512,1,2012256,-69.4938,-50.4512,1
-69.4392,-50.5307,1,2012257,-69.4392,-50.5307,1
-69.4082,-50.334,1,2012258,-69.4082,-50.334,1
-69.4153,-50.3587,1,2012259,-69.4153,-50.3587,1
-69.3926,-50.2811,1,2012260,-69.3926,-50.2811,1
-69.3872,-50.3513,1,2012261,-69.3872,-50.3513,1
-69.3649,-50.1421,1,2012262,-69.3649,-50.1421,1
-69.273,-50.1392,1,2012263,-69.273,-50.1392,1
-69.1222,-50.1122,1,2012264,-69.1222,-50.1122,1
-69.0661,-50.0101,1,2012265,-69.0661,-50.0101,1
-69.0301,-49.9336,1,2012266,-69.0301,-49.9336,1
-69.0007,-49.9223,1,2012267,-69.0007,-49.9223,1
-69.0716,-49.6822,1,2012268,-69.0716,-49.6822,1
-69.0889,-49.568,1,2012269,-69.0889,-49.568,1
-68.9672,-49.4275,1,2012270,-68.9672,-49.4275,1
-68.8882,-49.3411,1,2012271,-68.8882,-49.3411,1
-68.8067,-49.3741,1,2012272,-68.8067,-49.3741,1
-68.8377,-49.2199,1,2012273,-68.8377,-49.2199,1
-68.8281,-49.1054,1,2012274,-68.8281,-49.1054,1
-68.8136,-49.0594,1,2012275,-68.8136,-49.0594,1
-68.8023,-49.0236,0,2012276,-68.8023,-49.0236,0
-68.7929,-48.9936,0,2012277,-68.7929,-48.9936,0
-68.789,-48.9811,1,2012278,-68.789,-48.9811,1
-68.8244,-49.0098,1,2012279,-68.8244,-49.0098,1
-68.8514,-49.3496,1,2012280,-68.8514,-49.3496,1
-68.8075,-49.461,1,2012281,-68.8075,-49.461,1
-68.7107,-49.5285,1,2012282,-68.7107,-49.5285,1
-68.6929,-49.5546,1,2012283,-68.6929,-49.5546,1
-68.5921,-49.5669,1,2012284,-68.5921,-49.5669,1
-68.6053,-49.6083,1,2012285,-68.6053,-49.6083,1
-68.584,-49.7925,1,2012286,-68.584,-49.7925,1
-68.644,-49.8596,1,2012287,-68.644,-49.8596,1
-68.6024,-49.9788,1,2012288,-68.6024,-49.9788,1
-68.5759,-49.9765,1,2012289,-68.5759,-49.9765,1
-68.4832,-50.055,1,2012290,-68.4832,-50.055,1
-68.4786,-50.0814,1,2012291,-68.4786,-50.0814,1
-68.317,-50.1041,1,2012292,-68.317,-50.1041,1
-68.2057,-50.1615,1,2012293,-68.2057,-50.1615,1
-68.1653,-50.1135,1,2012294,-68.1653,-50.1135,1
-68.0479,-50.36,1,2012295,-68.0479,-50.36,1
-67.8858,-50.7081,1,2012296,-67.8858,-50.7081,1
-67.8722,-50.8283,1,2012297,-67.8722,-50.8283,1
-67.8708,-50.5738,1,2012298,-67.8708,-50.5738,1
-67.8371,-50.4661,1,2012299,-67.8371,-50.4661,1
-67.7515,-50.8108,1,2012300,-67.7515,-50.8108,1
-67.5701,-50.8026,1,2012301,-67.5701,-50.8026,1
-67.4408,-50.7968,1,2012302,-67.4408,-50.7968,1
-67.4145,-50.5496,1,2012303,-67.4145,-50.5496,1
-67.2947,-50.6577,1,2012304,-67.2947,-50.6577,1
-67.1765,-50.6876,1,2012305,-67.1765,-50.6876,1
-67.0757,-50.8122,1,2012306,-67.0757,-50.8122,1
-67.0293,-50.7857,1,2012307,-67.0293,-50.7857,1
-67.0914,-50.6996,1,2012308,-67.0914,-50.6996,1
-67.1035,-50.4178,1,2012309,-67.1035,-50.4178,1
-67.0684,-50.1122,1,2012310,-67.0684,-50.1122,1
-67.0356,-49.9328,1,2012311,-67.0356,-49.9328,1
-66.9732,-49.9793,1,2012312,-66.9732,-49.9793,1
-66.9397,-50.0732,1,2012313,-66.9397,-50.0732,1
-66.966,-50.1926,1,2012314,-66.966,-50.1926,1
