ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2007248,0,0,0,-65.3826,116.293,1
0,0,0,2007249,0,0,0,-65.3826,116.293,1
0,0,0,2007250,0,0,0,-65.3826,116.293,1
0,0,0,2007251,0,0,0,-65.3826,116.293,1
0,0,0,2007252,0,0,0,-65.3826,116.293,1
0,0,0,2007253,0,0,0,-65.3826,116.293,1
0,0,0,2007254,0,0,0,-65.3826,116.293,1
0,0,0,2007255,0,0,0,-65.3826,116.293,1
0,0,0,2007256,0,0,0,-65.3826,116.293,1
0,0,0,2007257,0,0,0,-65.3826,116.293,1
0,0,0,2007258,0,0,0,-65.3826,116.293,1
0,0,0,2007259,0,0,0,-65.3826,116.293,1
0,0,0,2007260,0,0,0,-65.3826,116.293,1
0,0,0,2007261,0,0,0,-65.3826,116.293,1
0,0,0,2007262,0,0,0,-65.3826,116.293,1
0,0,0,2007263,0,0,0,-65.3826,116.293,1
0,0,0,2007264,0,0,0,-65.3826,116.293,1
0,0,0,2007265,0,0,0,-65.3826,116.293,1
0,0,0,2007266,0,0,0,-65.3826,116.293,1
0,0,0,2007267,0,0,0,-65.3826,116.293,1
0,0,0,2007268,0,0,0,-65.3826,116.293,1
0,0,0,2007269,0,0,0,-65.3826,116.293,1
0,0,0,2007270,0,0,0,-65.3826,116.293,1
0,0,0,2007271,0,0,0,-65.3826,116.293,1
0,0,0,2007272,0,0,0,-65.3826,116.293,1
0,0,0,2007273,0,0,0,-65.3826,116.293,1
0,0,0,2007274,0,0,0,-65.3826,116.293,1
0,0,0,2007275,0,0,0,-65.3826,116.293,1
0,0,0,2007276,0,0,0,-65.3826,116.293,1
0,0,0,2007277,0,0,0,-65.3826,116.293,1
0,0,0,2007278,0,0,0,-65.3826,116.293,1
0,0,0,2007279,0,0,0,-65.3826,116.293,1
0,0,0,2007280,0,0,0,-65.3826,116.293,1
0,0,0,2007281,0,0,0,-65.3826,116.293,1
