ascat_1,ascat_2,ascat_3,date,qscat_1,qscat_2,qscat_3
-70.9955,-11.5164,1,2018239,0,0,0
-70.9955,-11.5164,1,2018240,0,0,0
-70.9912,-11.7493,1,2018241,0,0,0
-70.9912,-11.7493,1,2018242,0,0,0
-70.9381,-11.9394,1,2018243,0,0,0
-70.9685,-12.0789,1,2018244,0,0,0
-70.9781,-12.2368,1,2018245,0,0,0
-71.062,-12.34,1,2018246,0,0,0
-71.0737,-12.6115,1,2018247,0,0,0
-71.0737,-12.6115,1,2018248,0,0,0
-71.1203,-12.9501,1,2018249,0,0,0
-71.1786,-13.4003,1,2018250,0,0,0
-71.1786,-13.4003,1,2018251,0,0,0
-71.1786,-13.4003,1,2018252,0,0,0
-71.1744,-13.7264,1,2018253,0,0,0
-71.158,-13.8092,1,2018254,0,0,0
-71.144,-13.9793,1,2018255,0,0,0
-71.2404,-14.1765,1,2018256,0,0,0
-71.4053,-14.3013,1,2018257,0,0,0
-71.4794,-14.6656,1,2018258,0,0,0
-71.6626,-15.1858,1,2018259,0,0,0
-71.6626,-15.1858,1,2018260,0,0,0
-71.7636,-15.5885,1,2018261,0,0,0
-71.7636,-15.5885,1,2018262,0,0,0
-71.8194,-15.7938,1,2018263,0,0,0
-71.847,-15.9525,1,2018264,0,0,0
-71.8553,-16.0941,1,2018265,0,0,0
-71.8827,-16.2536,1,2018266,0,0,0
-71.9289,-16.5443,1,2018267,0,0,0
-71.9289,-16.5443,1,2018268,0,0,0
-71.9289,-16.5443,1,2018269,0,0,0
-71.933,-16.7334,1,2018270,0,0,0
-72.0145,-16.6369,1,2018271,0,0,0
-72.0457,-16.5314,1,2018272,0,0,0
-72.1261,-16.5583,1,2018273,0,0,0
-72.1339,-16.7083,1,2018274,0,0,0
-72.1824,-16.7497,1,2018275,0,0,0
-72.2681,-16.9494,1,2018276,0,0,0
-72.2195,-17.0383,1,2018277,0,0,0
-72.2195,-17.0383,1,2018278,0,0,0
-72.2266,-17.1241,0,2018279,0,0,0
-72.2449,-17.3165,1,2018280,0,0,0
-72.3033,-17.6883,1,2018281,0,0,0
-72.3824,-17.9567,1,2018282,0,0,0
-72.4345,-18.3447,0,2018283,0,0,0
-72.473,-18.6344,1,2018284,0,0,0
-72.4992,-18.6978,1,2018285,0,0,0
-72.5439,-19.0362,0,2018286,0,0,0
-72.595,-19.5907,0,2018287,0,0,0
-72.6193,-19.9648,1,2018288,0,0,0
-72.5258,-20.0688,1,2018289,0,0,0
-72.4436,-20.1343,1,2018290,0,0,0
-72.4436,-20.1343,1,2018291,0,0,0
-72.4436,-20.1343,1,2018292,0,0,0
-72.5088,-20.2075,1,2018293,0,0,0
-72.6279,-20.3843,1,2018294,0,0,0
-72.7104,-20.608,1,2018295,0,0,0
-72.7316,-20.8097,1,2018296,0,0,0
-72.7316,-20.8097,1,2018297,0,0,0
-72.7613,-21.1142,1,2018298,0,0,0
-72.7262,-21.2375,1,2018299,0,0,0
-72.7918,-21.4086,1,2018300,0,0,0
-72.7918,-21.4086,1,2018301,0,0,0
-72.8025,-21.5078,1,2018302,0,0,0
-72.9228,-21.6693,1,2018303,0,0,0
-73.0847,-21.7661,1,2018304,0,0,0
-73.0847,-21.7661,1,2018305,0,0,0
-73.1029,-22.2651,1,2018306,0,0,0
-73.0714,-22.3805,0,2018307,0,0,0
-73.013,-22.4494,0,2018308,0,0,0
-72.9815,-22.4722,1,2018309,0,0,0
-72.9815,-22.4722,1,2018310,0,0,0
-73.0438,-22.485,1,2018311,0,0,0
-73.1797,-22.6165,1,2018312,0,0,0
-73.2012,-22.7172,1,2018313,0,0,0
-73.222,-22.9934,1,2018314,0,0,0
-73.222,-22.9934,1,2018315,0,0,0
-73.3839,-23.3548,1,2018316,0,0,0
-73.3839,-23.3548,1,2018317,0,0,0
-73.4562,-23.4899,1,2018318,0,0,0
-73.4959,-23.6152,1,2018319,0,0,0
-73.5178,-23.9658,1,2018320,0,0,0
-73.6302,-24.2928,1,2018321,0,0,0
-73.7013,-24.4039,0,2018322,0,0,0
-73.7351,-24.4478,1,2018323,0,0,0
-73.7351,-24.4478,1,2018324,0,0,0
-73.7489,-24.8482,1,2018325,0,0,0
-73.8286,-25.5294,1,2018326,0,0,0
-73.9497,-25.8767,1,2018327,0,0,0
-74.0435,-26.0886,1,2018328,0,0,0
-74.0435,-26.0886,1,2018329,0,0,0
-74.1647,-26.2744,1,2018330,0,0,0
-74.1856,-26.1866,1,2018331,0,0,0
-74.2924,-25.9846,1,2018332,0,0,0
-74.3354,-26.0794,1,2018333,0,0,0
-74.3354,-26.0794,1,2018334,0,0,0
-74.4375,-26.4257,1,2018335,0,0,0
-74.5702,-26.3579,1,2018336,0,0,0
