ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
0,0,0,2008253,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008254,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008255,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008256,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008257,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008258,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008259,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008260,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008261,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008262,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008263,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008264,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008265,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008266,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008267,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008268,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008269,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008270,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008271,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008272,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008273,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008274,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008275,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008276,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008277,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008278,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008279,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008280,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008281,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008282,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008283,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008284,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008285,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008286,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008287,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008288,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008289,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008290,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008291,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008292,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008293,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008294,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008295,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008296,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008297,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008298,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008299,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008300,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008301,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008302,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008303,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008304,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008305,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008306,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008307,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008308,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008309,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008310,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008311,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008312,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008313,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008314,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008315,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008316,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008317,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008318,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008319,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008320,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008321,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008322,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008323,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008324,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008325,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008326,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008327,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008328,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008329,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008330,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008331,0,0,0,-66.5816,80.8777,0,0,0,0
0,0,0,2008332,0,0,0,-66.5445,80.8555,0,0,0,0
0,0,0,2008333,0,0,0,-66.5073,80.8334,0,0,0,0
0,0,0,2008334,0,0,0,-66.4904,80.8234,1,0,0,0
0,0,0,2008335,0,0,0,-66.4904,80.8234,1,0,0,0
0,0,0,2008336,0,0,0,-66.4904,80.8234,1,0,0,0
0,0,0,2008337,0,0,0,-66.4904,80.8234,1,0,0,0
0,0,0,2008338,0,0,0,-66.4904,80.8234,1,0,0,0
0,0,0,2008339,0,0,0,-66.5511,80.8566,1,0,0,0
0,0,0,2008340,0,0,0,-66.5511,80.8566,0,0,0,0
0,0,0,2008341,0,0,0,-66.5511,80.8566,1,0,0,0
0,0,0,2008342,0,0,0,-66.5552,80.8551,0,0,0,0
0,0,0,2008343,0,0,0,-66.5654,80.8513,0,0,0,0
0,0,0,2008344,0,0,0,-66.5789,80.8459,0,0,0,0
0,0,0,2008345,0,0,0,-66.5927,80.8401,0,0,0,0
0,0,0,2008346,0,0,0,-66.6039,80.8347,0,0,0,0
0,0,0,2008347,0,0,0,-66.6094,80.8305,1,0,0,0
0,0,0,2009025,0,0,0,-66.6414,80.7343,1,0,0,0
0,0,0,2009026,0,0,0,-66.6165,80.7341,1,0,0,0
0,0,0,2009027,0,0,0,-66.6078,80.7973,1,0,0,0
0,0,0,2009028,0,0,0,-66.6125,80.8457,1,0,0,0
0,0,0,2009029,0,0,0,-66.6574,80.7582,1,0,0,0
0,0,0,2009030,0,0,0,-66.5855,80.7269,1,0,0,0
0,0,0,2009031,0,0,0,-66.5835,80.8166,1,0,0,0
0,0,0,2009032,0,0,0,-66.5381,80.8956,1,0,0,0
0,0,0,2009033,0,0,0,-66.5543,80.959,1,0,0,0
0,0,0,2009034,0,0,0,-66.5689,80.875,1,0,0,0
0,0,0,2009035,0,0,0,-66.5449,80.8637,1,0,0,0
0,0,0,2009036,0,0,0,-66.5449,80.8637,1,0,0,0
0,0,0,2009037,0,0,0,-66.5449,80.8637,1,0,0,0
0,0,0,2009038,0,0,0,-66.5449,80.8637,1,0,0,0
0,0,0,2009039,0,0,0,-66.5449,80.8637,1,0,0,0
0,0,0,2009040,0,0,0,-66.5134,80.7971,1,0,0,0
0,0,0,2009041,0,0,0,-66.5096,80.7976,1,0,0,0
0,0,0,2009042,0,0,0,-66.5562,80.7389,1,0,0,0
0,0,0,2009043,0,0,0,-66.5507,80.7307,1,0,0,0
0,0,0,2009044,0,0,0,-66.528,80.7994,1,0,0,0
0,0,0,2009045,0,0,0,-66.4695,80.8731,1,0,0,0
0,0,0,2009046,0,0,0,-66.5109,80.7679,1,0,0,0
0,0,0,2009047,0,0,0,-66.5044,80.8288,1,0,0,0
0,0,0,2009048,0,0,0,-66.5606,80.8071,1,0,0,0
0,0,0,2009049,0,0,0,-66.5606,80.8071,1,0,0,0
0,0,0,2009050,0,0,0,-66.5606,80.8071,1,0,0,0
0,0,0,2009051,0,0,0,-66.5583,80.8478,1,0,0,0
0,0,0,2009052,0,0,0,-66.5583,80.8478,1,0,0,0
0,0,0,2009053,0,0,0,-66.5285,80.9192,1,0,0,0
0,0,0,2009054,0,0,0,-66.5285,80.9192,1,0,0,0
0,0,0,2009055,0,0,0,-66.5285,80.9192,1,0,0,0
0,0,0,2009056,0,0,0,-66.5433,81.0135,1,0,0,0
0,0,0,2009057,0,0,0,-66.5433,81.0135,1,0,0,0
0,0,0,2009058,0,0,0,-66.5058,80.99,1,0,0,0
0,0,0,2009059,0,0,0,-66.5132,81.0557,1,0,0,0
0,0,0,2009060,0,0,0,-66.5185,81.0245,1,0,0,0
0,0,0,2009061,0,0,0,-66.5135,81.0859,1,0,0,0
0,0,0,2009062,0,0,0,-66.5332,81.0292,1,0,0,0
