date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1992233,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992234,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992235,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992236,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992237,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992238,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992239,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992240,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992241,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992242,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992243,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992244,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992245,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992246,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992247,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992248,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992249,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992250,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992251,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992252,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992253,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992254,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992255,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992256,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992257,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992258,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992259,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992260,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992261,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992262,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992263,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992264,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992265,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992266,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992267,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992268,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992269,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992270,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992271,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992272,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992273,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992274,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992275,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992276,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992277,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992278,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992279,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992280,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992281,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992282,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992283,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992284,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992285,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992286,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992287,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992288,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992289,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992290,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992291,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992292,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992293,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992294,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992295,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992296,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992297,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992298,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992299,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992300,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992301,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992302,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992303,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992304,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992305,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992306,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992307,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992308,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992309,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992310,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992311,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992312,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992313,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992314,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992315,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992316,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992317,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992318,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992319,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992320,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992321,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992322,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992323,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992324,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992325,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992326,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992327,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992328,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992329,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992330,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992331,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992332,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
